,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
349,506,PIAS1,ENSG00000033800,0.0,1.0,1.0,8,0
350,509,MAP2K3,ENSG00000034152,0.0,1.0,1.0,18,0
351,511,TMSB10,ENSG00000034510,0.0,1.0,1.0,90,0
352,512,ASTE1,ENSG00000034533,0.0,1.0,1.0,2,0
353,513,RNF19A,ENSG00000034677,0.0,1.0,1.0,8,0
354,514,PEX3,ENSG00000034693,0.0,1.0,1.0,3,0
355,515,GABARAPL2,ENSG00000034713,0.0,1.0,1.0,17,0
356,517,SH3YL1,ENSG00000035115,0.0,1.0,1.0,2,0
357,518,FAM136A,ENSG00000035141,0.0,1.0,1.0,5,0
358,519,VCL,ENSG00000035403,0.0,1.0,1.0,28,0
359,521,DAPK2,ENSG00000035664,0.0,1.0,1.0,2,0
360,522,NSMAF,ENSG00000035681,0.0,1.0,1.0,12,0
361,523,ADSS2,ENSG00000035687,0.0,1.0,1.0,10,0
362,524,STAP1,ENSG00000035720,0.0,1.0,1.0,1,0
363,525,TIMP2,ENSG00000035862,0.0,1.0,1.0,28,0
364,526,RFC1,ENSG00000035928,0.0,1.0,1.0,12,0
365,527,TBC1D23,ENSG00000036054,0.0,1.0,1.0,6,0
366,528,CUL3,ENSG00000036257,0.0,1.0,1.0,22,0
367,529,MYOM2,ENSG00000036448,0.0,1.0,1.0,4,0
368,532,ZZZ3,ENSG00000036549,0.0,1.0,1.0,3,0
369,535,CASR,ENSG00000036828,0.0,1.0,1.0,1,0
370,536,TUBG2,ENSG00000037042,0.0,1.0,1.0,1,0
371,537,RPL26L1,ENSG00000037241,0.0,1.0,1.0,3,0
372,538,FLT4,ENSG00000037280,0.0,1.0,1.0,1,0
373,539,NSUN2,ENSG00000037474,0.0,1.0,1.0,7,0
374,540,FBXO42,ENSG00000037637,0.0,1.0,1.0,6,0
375,541,MFAP3,ENSG00000037749,0.0,1.0,1.0,4,0
376,545,AGA,ENSG00000038002,0.0,1.0,1.0,5,0
377,546,PI4K2B,ENSG00000038210,0.0,1.0,1.0,2,0
378,547,BOD1L1,ENSG00000038219,0.0,1.0,1.0,47,0
379,548,MAT2B,ENSG00000038274,0.0,1.0,1.0,9,0
380,549,TLL1,ENSG00000038295,0.0,1.0,1.0,1,0
381,550,EDC4,ENSG00000038358,0.0,1.0,1.0,1,0
382,551,TRIO,ENSG00000038382,0.0,1.0,1.0,9,0
383,552,VCAN,ENSG00000038427,0.0,1.0,1.0,88,0
384,553,CLEC16A,ENSG00000038532,0.0,1.0,1.0,7,0
385,554,MSR1,ENSG00000038945,0.0,1.0,1.0,1,0
386,556,MTREX,ENSG00000039123,0.0,1.0,1.0,9,0
387,558,ZFYVE16,ENSG00000039319,0.0,1.0,1.0,8,0
388,559,RIPOR1,ENSG00000039523,0.0,1.0,1.0,3,0
389,563,PNKP,ENSG00000039650,0.0,1.0,1.0,3,0
390,565,PHLPP2,ENSG00000040199,0.0,1.0,1.0,1,0
391,566,SPDL1,ENSG00000040275,0.0,1.0,1.0,1,0
